Frame,Time(s),X,Y
1,0.033,0.72,0.44
2,0.067,0.72,0.44
3,0.1,0.72,0.44
4,0.133,0.72,0.44
5,0.167,0.72,0.44
6,0.2,0.72,0.44
7,0.233,0.72,0.44
8,0.267,0.72,0.44
9,0.3,0.72,0.44
10,0.333,0.72,0.44
11,0.367,0.72,0.44
12,0.4,0.72,0.44
13,0.433,0.72,0.44
14,0.467,0.72,0.33
15,0.5,-0.61,0.33
16,0.533,-1.82,0.33
17,0.567,-3.15,0.33
18,0.6,-4.37,0.33
19,0.633,-5.69,0.33
20,0.667,-6.91,0.33
21,0.7,-8.24,0.33
22,0.733,-9.45,0.33
23,0.767,-10.78,0.33
24,0.8,-12.11,0.33
25,0.833,-13.32,0.33
26,0.867,-14.54,0.33
27,0.9,-15.86,0.33
28,0.933,-17.19,0.33
29,0.967,-18.41,0.33
30,1.0,-19.73,0.33
31,1.033,-20.95,0.33
32,1.067,-22.28,0.33
33,1.1,-23.49,0.33
34,1.133,-24.82,0.33
35,1.167,-26.04,0.33
36,1.2,-27.36,0.33
37,1.233,-28.69,0.33
38,1.267,-29.91,0.33
39,1.3,-31.12,0.33
40,1.333,-32.45,0.33
41,1.367,-33.78,0.33
42,1.4,-34.99,0.33
43,1.433,-36.32,0.33
44,1.467,-37.53,0.33
45,1.5,-38.86,0.33
46,1.533,-40.08,0.33
47,1.567,-41.4,0.33
48,1.6,-42.62,0.33
49,1.633,-43.95,0.33
50,1.667,-45.27,0.33
51,1.7,-46.49,0.33
52,1.733,-47.71,0.33
53,1.767,-49.03,0.33
54,1.8,-50.36,0.33
55,1.833,-51.57,0.33
56,1.867,-52.9,0.33
57,1.9,-54.12,0.33
58,1.933,-55.44,0.33
59,1.967,-56.66,0.33
60,2.0,-57.99,0.33
61,2.033,-59.2,0.33
62,2.067,-60.53,0.33
63,2.1,-61.86,0.33
64,2.133,-63.07,0.33
65,2.167,-64.29,0.33
66,2.2,-65.62,0.33
67,2.233,-66.5,0.11
68,2.267,-66.5,-0.66
69,2.3,-66.5,-1.33
70,2.333,-66.5,-2.1
71,2.367,-66.5,-2.76
72,2.4,-66.5,-3.54
73,2.433,-66.5,-4.2
74,2.467,-66.5,-4.98
75,2.5,-66.5,-5.64
76,2.533,-66.5,-6.41
77,2.567,-66.5,-7.08
78,2.6,-66.5,-7.85
79,2.633,-66.5,-8.51
80,2.667,-66.5,-9.29
81,2.7,-66.5,-9.95
82,2.733,-66.5,-10.72
83,2.767,-66.5,-11.39
84,2.8,-66.5,-12.16
85,2.833,-66.5,-12.82
86,2.867,-66.5,-13.6
87,2.9,-66.5,-14.26
88,2.933,-66.5,-15.04
89,2.967,-66.5,-15.7
90,3.0,-66.5,-16.47
91,3.033,-66.5,-17.14
92,3.067,-66.5,-17.91
93,3.1,-66.5,-18.57
94,3.133,-66.5,-19.35
95,3.167,-66.5,-20.01
96,3.2,-66.5,-20.78
97,3.233,-66.5,-21.45
98,3.267,-66.5,-22.22
99,3.3,-66.5,-22.89
100,3.333,-66.5,-23.66
101,3.367,-66.5,-24.32
102,3.4,-66.5,-25.1
103,3.433,-66.5,-25.76
104,3.467,-66.5,-26.53
105,3.5,-66.5,-27.2
106,3.533,-66.5,-27.97
107,3.567,-66.5,-28.63
108,3.6,-66.5,-29.41
109,3.633,-66.5,-30.07
110,3.667,-66.5,-30.85
111,3.7,-66.5,-31.51
112,3.733,-66.5,-32.28
113,3.767,-66.5,-32.95
114,3.8,-66.5,-33.72
115,3.833,-66.5,-34.38
116,3.867,-66.5,-35.16
117,3.9,-66.5,-34.94
118,3.933,-66.5,-34.16
119,3.967,-66.5,-33.5
120,4.0,-66.5,-32.72
121,4.033,-66.5,-32.06
122,4.067,-66.5,-31.29
123,4.1,-66.5,-30.62
124,4.133,-66.5,-29.85
125,4.167,-66.5,-29.19
126,4.2,-66.5,-28.52
127,4.233,-66.5,-27.75
128,4.267,-66.5,-27.09
129,4.3,-66.5,-26.31
130,4.333,-66.5,-25.65
131,4.367,-66.5,-24.88
132,4.4,-66.5,-24.21
133,4.433,-66.5,-23.44
134,4.467,-66.5,-22.77
135,4.5,-66.5,-22.0
136,4.533,-66.5,-21.34
137,4.567,-66.5,-20.56
138,4.6,-66.5,-19.9
139,4.633,-66.5,-19.13
140,4.667,-66.5,-18.46
141,4.7,-66.5,-17.69
142,4.733,-66.5,-17.03
143,4.767,-66.5,-16.25
144,4.8,-66.5,-15.59
145,4.833,-66.5,-14.81
146,4.867,-66.5,-14.15
147,4.9,-66.5,-13.38
148,4.933,-66.5,-12.71
149,4.967,-66.5,-11.94
150,5.0,-66.5,-11.28
151,5.033,-66.5,-10.5
152,5.067,-66.5,-9.84
153,5.1,-66.5,-9.07
154,5.133,-66.5,-8.4
155,5.167,-66.5,-7.63
156,5.2,-66.5,-6.97
157,5.233,-66.5,-6.19
158,5.267,-66.5,-5.53
159,5.3,-66.5,-4.75
160,5.333,-66.5,-4.09
161,5.367,-66.5,-3.32
162,5.4,-66.5,-2.65
163,5.433,-66.5,-1.88
164,5.467,-66.5,-1.22
165,5.5,-66.5,-0.44
166,5.533,-66.5,0.22
167,5.567,-66.5,1.0
168,5.6,-66.5,1.66
169,5.633,-66.5,2.43
170,5.667,-66.5,3.1
171,5.7,-66.5,3.87
172,5.733,-66.5,4.53
173,5.767,-66.5,5.31
174,5.8,-66.5,5.97
175,5.833,-66.5,6.74
176,5.867,-66.5,7.41
177,5.9,-66.5,8.18
178,5.933,-66.5,8.84
179,5.967,-66.5,9.62
180,6.0,-66.5,10.28
181,6.033,-66.5,11.06
182,6.067,-66.5,11.72
183,6.1,-66.5,12.49
184,6.133,-66.5,13.16
185,6.167,-66.5,13.82
186,6.2,-66.5,14.59
187,6.233,-66.5,15.26
188,6.267,-66.5,16.03
189,6.3,-66.5,16.69
190,6.333,-66.5,17.47
191,6.367,-66.5,18.13
192,6.4,-66.5,18.91
193,6.433,-66.5,19.57
194,6.467,-66.5,20.34
195,6.5,-66.5,21.01
196,6.533,-66.5,21.78
197,6.567,-66.5,22.44
198,6.6,-66.5,23.22
199,6.633,-66.5,23.88
200,6.667,-66.5,24.65
201,6.7,-66.5,25.32
202,6.733,-66.5,26.09
203,6.767,-66.5,26.75
204,6.8,-66.5,27.53
205,6.833,-66.5,28.19
206,6.867,-66.5,28.97
207,6.9,-66.5,29.63
208,6.933,-66.5,30.4
209,6.967,-66.5,31.07
210,7.0,-66.5,31.84
211,7.033,-66.5,32.5
212,7.067,-66.5,33.28
213,7.1,-66.5,33.94
214,7.133,-66.5,34.71
215,7.167,-66.5,35.38
216,7.2,-66.5,35.82
217,7.233,-66.5,35.05
218,7.267,-66.5,34.38
219,7.3,-66.5,33.61
220,7.333,-66.5,32.95
221,7.367,-66.5,32.17
222,7.4,-66.5,31.51
223,7.433,-66.5,30.73
224,7.467,-66.5,30.07
225,7.5,-66.5,29.41
226,7.533,-66.5,28.63
227,7.567,-66.5,27.97
228,7.6,-66.5,27.2
229,7.633,-66.5,26.53
230,7.667,-66.5,25.76
231,7.7,-66.5,25.1
232,7.733,-66.5,24.32
233,7.767,-66.5,23.66
234,7.8,-66.5,22.89
235,7.833,-66.5,22.22
236,7.867,-66.5,21.45
237,7.9,-66.5,20.78
238,7.933,-66.5,20.01
239,7.967,-66.5,19.35
240,8.0,-66.5,18.57
241,8.033,-66.5,17.91
242,8.067,-66.5,17.14
243,8.1,-66.5,16.47
244,8.133,-66.5,15.7
245,8.167,-66.5,15.04
246,8.2,-66.5,14.26
247,8.233,-66.5,13.6
248,8.267,-66.5,12.82
249,8.3,-66.5,12.16
250,8.333,-66.5,11.39
251,8.367,-66.5,10.72
252,8.4,-66.5,9.95
253,8.433,-66.5,9.29
254,8.467,-66.5,8.51
255,8.5,-66.5,7.85
256,8.533,-66.5,7.08
257,8.567,-66.5,6.41
258,8.6,-66.5,5.64
259,8.633,-66.5,4.98
260,8.667,-66.5,4.2
261,8.7,-66.5,3.54
262,8.733,-66.5,2.76
263,8.767,-66.5,2.1
264,8.8,-66.5,1.33
265,8.833,-66.5,0.66
266,8.867,-65.62,0.44
267,8.9,-64.29,0.44
268,8.933,-62.96,0.44
269,8.967,-61.75,0.44
270,9.0,-60.42,0.44
271,9.033,-59.2,0.44
272,9.067,-57.88,0.44
273,9.1,-56.66,0.44
274,9.133,-55.33,0.44
275,9.167,-54.12,0.44
276,9.2,-52.79,0.44
277,9.233,-51.57,0.44
278,9.267,-50.25,0.44
279,9.3,-49.03,0.44
280,9.333,-47.71,0.44
281,9.367,-46.38,0.44
282,9.4,-45.16,0.44
283,9.433,-43.84,0.44
284,9.467,-42.62,0.44
285,9.5,-41.29,0.44
286,9.533,-40.08,0.44
287,9.567,-38.75,0.44
288,9.6,-37.53,0.44
289,9.633,-36.21,0.44
290,9.667,-34.99,0.44
291,9.7,-33.66,0.44
292,9.733,-32.45,0.44
293,9.767,-31.12,0.44
294,9.8,-29.8,0.44
295,9.833,-28.58,0.44
296,9.867,-27.25,0.44
297,9.9,-26.04,0.44
298,9.933,-24.71,0.44
299,9.967,-23.49,0.44
300,10.0,-22.17,0.44
301,10.033,-20.95,0.44
302,10.067,-19.62,0.44
303,10.1,-18.41,0.44
304,10.133,-17.08,0.44
305,10.167,-15.86,0.44
306,10.2,-14.54,0.44
307,10.233,-13.21,0.44
308,10.267,-12.0,0.44
309,10.3,-10.67,0.44
310,10.333,-9.45,0.44
311,10.367,-8.13,0.44
312,10.4,-6.91,0.44
313,10.433,-5.58,0.44
314,10.467,-4.37,0.44
315,10.5,-3.04,0.44
316,10.533,-1.71,0.44
317,10.567,-0.5,0.44
318,10.6,0.72,0.44
319,10.633,2.05,0.44
320,10.667,3.37,0.44
321,10.7,4.59,0.44
322,10.733,5.91,0.44
323,10.767,7.13,0.44
324,10.8,8.46,0.44
325,10.833,9.67,0.44
326,10.867,11.0,0.44
327,10.9,12.22,0.44
328,10.933,13.54,0.44
329,10.967,14.87,0.44
330,11.0,16.09,0.44
331,11.033,17.41,0.44
332,11.067,18.63,0.44
333,11.1,19.96,0.44
334,11.133,21.17,0.44
335,11.167,22.5,0.44
336,11.2,23.71,0.44
337,11.233,25.04,0.44
