Frame,Time(s),X,Y
1.0,0.0666666666666666,0.72,0.44
2.0,0.1333333333333333,0.72,0.44
3.0,0.2,0.72,0.44
4.0,0.2666666666666666,0.72,0.44
5.0,0.3333333333333333,0.72,0.44
6.0,0.4,0.72,0.44
7.0,0.4666666666666667,0.72,0.44
8.0,0.5333333333333333,0.72,0.44
9.0,0.6,0.72,0.44
10.0,0.6666666666666666,0.72,0.44
11.0,0.7333333333333333,0.72,0.44
12.0,0.8,0.72,0.44
13.0,0.8666666666666667,0.72,0.44
14.0,0.9333333333333332,0.72,0.33
15.0,1.0,-0.61,0.33
16.0,1.0666666666666669,-1.82,0.33
17.0,1.1333333333333333,-3.15,0.33
18.0,1.2,-4.37,0.33
19.0,1.2666666666666666,-5.69,0.33
20.0,1.3333333333333333,-6.91,0.33
21.0,1.4,-8.24,0.33
22.0,1.4666666666666666,-9.45,0.33
23.0,1.5333333333333334,-10.78,0.33
24.0,1.6,-12.11,0.33
25.0,1.6666666666666667,-13.32,0.33
26.0,1.7333333333333334,-14.54,0.33
27.0,1.8,-15.86,0.33
28.0,1.8666666666666667,-17.19,0.33
29.0,1.9333333333333331,-18.41,0.33
30.0,2.0,-19.73,0.33
31.0,2.066666666666667,-20.95,0.33
32.0,2.1333333333333333,-22.28,0.33
33.0,2.2,-23.49,0.33
34.0,2.2666666666666666,-24.82,0.33
35.0,2.333333333333333,-26.04,0.33
36.0,2.4,-27.36,0.33
37.0,2.466666666666667,-28.69,0.33
38.0,2.533333333333333,-29.91,0.33
39.0,2.6,-31.12,0.33
40.0,2.6666666666666665,-32.45,0.33
41.0,2.7333333333333334,-33.78,0.33
42.0,2.8,-34.99,0.33
43.0,2.8666666666666667,-36.32,0.33
44.0,2.933333333333333,-37.53,0.33
45.0,3.0,-38.86,0.33
46.0,3.066666666666667,-40.08,0.33
47.0,3.1333333333333333,-41.4,0.33
48.0,3.2,-42.62,0.33
49.0,3.2666666666666666,-43.95,0.33
50.0,3.333333333333333,-45.27,0.33
51.0,3.4,-46.49,0.33
52.0,3.466666666666667,-47.71,0.33
53.0,3.533333333333333,-49.03,0.33
54.0,3.6,-50.36,0.33
55.0,3.6666666666666665,-51.57,0.33
56.0,3.733333333333333,-52.9,0.33
57.0,3.8,-54.12,0.33
58.0,3.8666666666666663,-55.44,0.33
59.0,3.933333333333333,-56.66,0.33
60.0,4.0,-57.99,0.33
61.0,4.066666666666666,-59.2,0.33
62.0,4.133333333333334,-60.53,0.33
63.0,4.2,-61.86,0.33
64.0,4.266666666666667,-63.07,0.33
65.0,4.333333333333333,-64.29,0.33
66.0,4.4,-65.62,0.33
67.0,4.466666666666667,-66.5,0.11
68.0,4.533333333333333,-66.5,-0.66
69.0,4.6,-66.5,-1.33
70.0,4.666666666666667,-66.5,-2.1
71.0,4.733333333333333,-66.5,-2.76
72.0,4.8,-66.5,-3.54
73.0,4.866666666666666,-66.5,-4.2
74.0,4.933333333333334,-66.5,-4.98
75.0,5.0,-66.5,-5.64
76.0,5.066666666666666,-66.5,-6.41
77.0,5.133333333333334,-66.5,-7.08
78.0,5.2,-66.5,-7.85
79.0,5.266666666666667,-66.5,-8.51
80.0,5.333333333333333,-66.5,-9.29
81.0,5.4,-66.5,-9.95
82.0,5.466666666666667,-66.5,-10.72
83.0,5.533333333333333,-66.5,-11.39
84.0,5.6,-66.5,-12.16
85.0,5.666666666666667,-66.5,-12.82
86.0,5.733333333333333,-66.5,-13.6
87.0,5.8,-66.5,-14.26
88.0,5.866666666666666,-66.5,-15.04
89.0,5.933333333333334,-66.5,-15.7
90.0,6.0,-66.5,-16.47
91.0,6.066666666666666,-66.5,-17.14
92.0,6.133333333333334,-66.5,-17.91
93.0,6.2,-66.5,-18.57
94.0,6.266666666666667,-66.5,-19.35
95.0,6.333333333333333,-66.5,-20.01
96.0,6.4,-66.5,-20.78
