Frame,Time(s),X,Y
1.0,0.0166666666666666,0.11,0.22
2.0,0.0333333333333333,0.11,0.22
3.0,0.05,0.11,0.22
4.0,0.0666666666666666,0.11,0.22
5.0,0.0833333333333333,0.11,0.22
6.0,0.1,0.11,0.22
7.0,0.1166666666666666,0.11,0.22
8.0,0.1333333333333333,0.11,0.22
9.0,0.15,0.11,0.22
10.0,0.1666666666666666,0.11,0.22
11.0,0.1833333333333333,0.11,0.22
12.0,0.2,0.11,0.22
13.0,0.2166666666666666,0.11,0.22
14.0,0.2333333333333333,0.11,0.22
15.0,0.25,0.11,0.22
16.0,0.2666666666666666,0.11,0.22
17.0,0.2833333333333333,0.11,0.22
18.0,0.3,0.11,0.22
19.0,0.3166666666666666,0.11,0.22
20.0,0.3333333333333333,0.11,0.22
21.0,0.35,0.11,0.22
22.0,0.3666666666666666,0.11,0.22
23.0,0.3833333333333333,0.11,0.22
24.0,0.4,0.11,0.22
25.0,0.4166666666666667,0.11,0.22
26.0,0.4333333333333333,0.11,0.22
27.0,0.45,0.11,0.22
28.0,0.4666666666666667,0.11,0.22
29.0,0.4833333333333333,0.11,0.22
30.0,0.5,0.11,0.22
31.0,0.5166666666666667,0.11,0.22
32.0,0.5333333333333333,0.11,0.22
33.0,0.55,0.11,0.22
34.0,0.5666666666666667,0.11,0.22
35.0,0.5833333333333334,0.11,0.22
36.0,0.6,0.11,0.22
37.0,0.6166666666666667,0.11,0.22
38.0,0.6333333333333333,0.11,0.22
39.0,0.65,0.11,0.22
40.0,0.6666666666666666,0.11,0.22
41.0,0.6833333333333333,0.11,0.22
42.0,0.7,0.11,0.22
43.0,0.7166666666666667,0.11,0.22
44.0,0.7333333333333333,0.11,0.22
45.0,0.75,0.11,0.22
46.0,0.7666666666666667,0.11,0.22
47.0,0.7833333333333333,0.11,0.22
48.0,0.8,0.11,0.22
49.0,0.8166666666666667,0.11,0.22
50.0,0.8333333333333334,0.11,0.22
51.0,0.85,0.11,0.22
52.0,0.8666666666666667,0.11,0.22
53.0,0.8833333333333333,0.11,0.22
54.0,0.9,0.11,0.22
55.0,0.9166666666666666,0.11,0.22
56.0,0.9333333333333332,0.11,0.22
57.0,0.95,0.11,0.22
58.0,0.9666666666666668,0.11,0.22
59.0,0.9833333333333332,0.11,0.22
60.0,1.0,0.11,0.22
61.0,1.0166666666666666,0.11,0.22
62.0,1.0333333333333334,0.11,0.22
63.0,1.05,0.11,0.22
64.0,1.0666666666666669,0.11,0.22
65.0,1.0833333333333333,0.11,0.22
66.0,1.1,0.11,0.22
67.0,1.1166666666666667,0.11,0.22
68.0,1.1333333333333333,0.11,0.22
69.0,1.15,0.11,0.22
70.0,1.1666666666666667,0.11,0.22
71.0,1.1833333333333331,0.11,0.22
72.0,1.2,0.11,0.22
73.0,1.2166666666666666,0.11,0.22
74.0,1.2333333333333334,0.11,0.22
75.0,1.25,0.11,0.22
76.0,1.2666666666666666,0.11,0.22
77.0,1.2833333333333334,0.11,0.22
78.0,1.3,0.11,0.22
79.0,1.3166666666666669,0.11,0.22
80.0,1.3333333333333333,0.11,0.22
81.0,1.35,0.11,0.22
82.0,1.3666666666666667,0.11,0.22
83.0,1.3833333333333333,0.11,0.22
84.0,1.4,0.11,0.22
85.0,1.4166666666666667,0.11,0.22
86.0,1.4333333333333331,0.11,0.22
87.0,1.45,0.11,0.22
88.0,1.4666666666666666,0.11,0.22
89.0,1.4833333333333334,0.11,0.22
90.0,1.5,0.11,0.22
91.0,1.5166666666666666,0.11,0.22
92.0,1.5333333333333334,0.11,0.22
93.0,1.55,0.11,0.22
94.0,1.5666666666666669,0.11,0.22
95.0,1.5833333333333333,0.11,0.22
96.0,1.6,0.11,0.22
97.0,1.6166666666666667,0.11,0.22
98.0,1.6333333333333333,0.11,0.22
99.0,1.65,0.11,0.22
100.0,1.6666666666666667,0.11,0.22
101.0,1.6833333333333331,0.11,0.22
102.0,1.7,0.11,0.22
103.0,1.7166666666666666,0.11,0.22
104.0,1.7333333333333334,0.11,0.22
105.0,1.75,0.11,0.22
106.0,1.7666666666666666,0.11,0.22
107.0,1.7833333333333334,0.11,0.22
108.0,1.8,0.11,0.22
109.0,1.8166666666666669,0.11,0.22
110.0,1.8333333333333333,0.11,0.22
111.0,1.85,0.11,0.22
112.0,1.8666666666666667,0.11,0.22
113.0,1.8833333333333333,0.11,0.22
114.0,1.9,0.11,0.22
115.0,1.9166666666666667,0.11,0.22
116.0,1.9333333333333331,0.11,0.22
117.0,1.95,0.11,-0.22
118.0,1.9666666666666663,-0.33,-0.22
119.0,1.9833333333333332,-0.77,-0.22
120.0,2.0,-1.21,-0.22
121.0,2.0166666666666666,-1.65,-0.22
122.0,2.033333333333333,-2.09,-0.22
123.0,2.05,-2.53,-0.22
124.0,2.066666666666667,-2.97,-0.22
125.0,2.083333333333333,-3.41,-0.22
126.0,2.1,-3.85,-0.22
127.0,2.1166666666666667,-4.29,-0.22
128.0,2.1333333333333333,-4.73,-0.22
129.0,2.15,-5.17,-0.22
130.0,2.1666666666666665,-5.61,-0.22
131.0,2.183333333333333,-6.05,-0.22
132.0,2.2,-6.49,-0.22
133.0,2.216666666666667,-6.92,-0.22
134.0,2.2333333333333334,-7.36,-0.22
135.0,2.25,-7.8,-0.22
136.0,2.2666666666666666,-8.24,-0.22
137.0,2.283333333333333,-8.68,-0.22
138.0,2.3,-9.12,-0.22
139.0,2.316666666666667,-9.56,-0.22
140.0,2.333333333333333,-10.0,-0.22
141.0,2.35,-10.44,-0.22
142.0,2.3666666666666667,-10.88,-0.22
143.0,2.3833333333333333,-11.32,-0.22
144.0,2.4,-11.76,-0.22
145.0,2.4166666666666665,-12.2,-0.22
146.0,2.433333333333333,-12.64,-0.22
147.0,2.45,-13.08,-0.22
148.0,2.466666666666667,-13.52,-0.22
149.0,2.4833333333333334,-13.96,-0.22
150.0,2.5,-14.4,-0.22
151.0,2.5166666666666666,-14.84,-0.22
152.0,2.533333333333333,-15.28,-0.22
153.0,2.55,-15.72,-0.22
154.0,2.566666666666667,-16.16,-0.22
155.0,2.583333333333333,-16.6,-0.22
156.0,2.6,-17.04,-0.22
157.0,2.6166666666666667,-17.48,-0.22
158.0,2.6333333333333333,-17.92,-0.22
159.0,2.65,-18.58,-0.22
160.0,2.6666666666666665,-19.02,-0.22
161.0,2.683333333333333,-19.46,-0.22
162.0,2.7,-19.9,-0.22
163.0,2.716666666666667,-20.33,-0.22
164.0,2.7333333333333334,-20.77,-0.22
165.0,2.75,-21.21,-0.22
166.0,2.7666666666666666,-21.65,-0.22
167.0,2.783333333333333,-22.09,-0.22
168.0,2.8,-22.53,-0.22
169.0,2.816666666666667,-22.97,-0.22
170.0,2.833333333333333,-23.41,-0.22
171.0,2.85,-23.85,-0.22
172.0,2.8666666666666667,-24.29,-0.22
173.0,2.8833333333333333,-24.73,-0.22
174.0,2.9,-25.17,-0.22
175.0,2.9166666666666665,-25.61,-0.22
