Frame,Time(s),X,Y
1.0,0.0666666666666666,0.11,0.22
2.0,0.1333333333333333,0.11,0.22
3.0,0.2,0.11,0.22
4.0,0.2666666666666666,0.11,0.22
5.0,0.3333333333333333,0.11,0.22
6.0,0.4,0.11,0.22
7.0,0.4666666666666667,0.11,0.22
8.0,0.5333333333333333,0.11,0.22
9.0,0.6,0.11,0.22
10.0,0.6666666666666666,0.11,0.22
11.0,0.7333333333333333,0.11,0.22
12.0,0.8,0.11,0.22
13.0,0.8666666666666667,0.11,0.22
14.0,0.9333333333333332,0.11,0.22
15.0,1.0,0.11,0.22
16.0,1.0666666666666669,0.11,0.22
17.0,1.1333333333333333,0.11,0.22
18.0,1.2,0.11,0.22
19.0,1.2666666666666666,0.11,0.22
20.0,1.3333333333333333,0.11,0.22
21.0,1.4,0.11,0.22
22.0,1.4666666666666666,0.11,0.22
23.0,1.5333333333333334,0.11,0.22
24.0,1.6,0.11,0.22
25.0,1.6666666666666667,0.11,0.22
26.0,1.7333333333333334,0.11,0.22
27.0,1.8,0.11,0.22
28.0,1.8666666666666667,0.11,0.22
29.0,1.9333333333333331,0.11,0.22
30.0,2.0,0.11,0.22
31.0,2.066666666666667,0.11,0.22
32.0,2.1333333333333333,0.11,0.22
33.0,2.2,0.11,0.22
34.0,2.2666666666666666,0.11,0.22
35.0,2.333333333333333,0.11,0.22
36.0,2.4,0.11,0.22
37.0,2.466666666666667,0.11,0.22
38.0,2.533333333333333,0.11,0.22
39.0,2.6,0.11,0.22
40.0,2.6666666666666665,0.11,0.22
41.0,2.7333333333333334,0.11,0.22
42.0,2.8,0.11,0.22
43.0,2.8666666666666667,0.11,0.22
44.0,2.933333333333333,0.11,0.22
45.0,3.0,0.11,0.22
46.0,3.066666666666667,0.11,0.22
47.0,3.1333333333333333,0.11,0.22
48.0,3.2,0.11,0.22
49.0,3.2666666666666666,0.11,0.22
50.0,3.333333333333333,0.11,0.22
51.0,3.4,0.11,0.22
52.0,3.466666666666667,0.11,0.22
53.0,3.533333333333333,0.11,0.22
54.0,3.6,0.11,0.22
55.0,3.6666666666666665,0.11,0.22
56.0,3.733333333333333,0.11,0.22
57.0,3.8,0.11,0.22
58.0,3.8666666666666663,0.11,0.22
59.0,3.933333333333333,0.11,0.22
60.0,4.0,0.11,0.22
61.0,4.066666666666666,0.11,0.22
62.0,4.133333333333334,0.11,0.22
63.0,4.2,0.11,0.22
64.0,4.266666666666667,0.11,0.22
65.0,4.333333333333333,0.11,0.22
66.0,4.4,0.11,0.22
67.0,4.466666666666667,0.11,0.22
68.0,4.533333333333333,0.11,0.22
69.0,4.6,0.11,0.22
70.0,4.666666666666667,0.11,0.22
71.0,4.733333333333333,0.11,0.22
72.0,4.8,0.11,0.22
73.0,4.866666666666666,0.11,0.22
74.0,4.933333333333334,0.11,0.22
75.0,5.0,0.11,0.22
76.0,5.066666666666666,0.11,0.22
77.0,5.133333333333334,0.11,0.22
78.0,5.2,0.11,0.22
79.0,5.266666666666667,0.11,0.22
80.0,5.333333333333333,0.11,0.22
81.0,5.4,0.11,0.22
82.0,5.466666666666667,0.11,0.22
83.0,5.533333333333333,0.11,0.22
84.0,5.6,0.11,0.22
85.0,5.666666666666667,0.11,0.22
86.0,5.733333333333333,0.11,0.22
87.0,5.8,0.11,0.22
88.0,5.866666666666666,0.11,0.22
89.0,5.933333333333334,0.11,0.22
90.0,6.0,0.11,0.22
91.0,6.066666666666666,0.11,0.22
92.0,6.133333333333334,0.11,0.22
93.0,6.2,0.11,0.22
94.0,6.266666666666667,0.11,0.22
95.0,6.333333333333333,0.11,0.22
96.0,6.4,0.11,0.22
97.0,6.466666666666667,0.11,0.22
98.0,6.533333333333333,0.11,0.22
99.0,6.6,0.11,0.22
100.0,6.666666666666667,0.11,0.22
101.0,6.733333333333333,0.11,0.22
102.0,6.8,0.11,0.22
103.0,6.866666666666666,0.11,0.22
104.0,6.933333333333334,0.11,0.22
105.0,7.0,0.11,0.22
106.0,7.066666666666666,0.11,0.22
107.0,7.133333333333334,0.11,0.22
108.0,7.2,0.11,0.22
109.0,7.266666666666667,0.11,0.22
110.0,7.333333333333333,0.11,0.22
111.0,7.4,0.11,0.22
112.0,7.466666666666667,0.11,0.22
113.0,7.533333333333333,0.11,0.22
114.0,7.6,0.11,0.22
115.0,7.666666666666667,0.11,0.22
116.0,7.733333333333333,0.11,0.22
117.0,7.8,0.11,-0.22
118.0,7.866666666666666,-0.33,-0.22
119.0,7.933333333333334,-0.77,-0.22
120.0,8.0,-1.21,-0.22
121.0,8.066666666666666,-1.65,-0.22
122.0,8.133333333333333,-2.09,-0.22
123.0,8.2,-2.53,-0.22
124.0,8.266666666666667,-2.97,-0.22
125.0,8.333333333333334,-3.41,-0.22
126.0,8.4,-3.85,-0.22
127.0,8.466666666666667,-4.29,-0.22
128.0,8.533333333333333,-4.73,-0.22
129.0,8.6,-5.17,-0.22
130.0,8.666666666666666,-5.61,-0.22
131.0,8.733333333333333,-6.05,-0.22
132.0,8.8,-6.49,-0.22
133.0,8.866666666666667,-6.92,-0.22
134.0,8.933333333333334,-7.36,-0.22
135.0,9.0,-7.8,-0.22
136.0,9.066666666666666,-8.24,-0.22
137.0,9.133333333333333,-8.68,-0.22
138.0,9.2,-9.12,-0.22
139.0,9.266666666666667,-9.56,-0.22
140.0,9.333333333333334,-10.0,-0.22
141.0,9.4,-10.44,-0.22
142.0,9.466666666666669,-10.88,-0.22
143.0,9.533333333333331,-11.32,-0.22
144.0,9.6,-11.76,-0.22
145.0,9.666666666666666,-12.2,-0.22
146.0,9.733333333333333,-12.64,-0.22
147.0,9.8,-13.08,-0.22
148.0,9.866666666666667,-13.52,-0.22
149.0,9.933333333333334,-13.96,-0.22
150.0,10.0,-14.4,-0.22
151.0,10.066666666666666,-14.84,-0.22
152.0,10.133333333333333,-15.28,-0.22
153.0,10.2,-15.72,-0.22
154.0,10.266666666666667,-16.16,-0.22
155.0,10.333333333333334,-16.6,-0.22
156.0,10.4,-17.04,-0.22
157.0,10.466666666666669,-17.48,-0.22
158.0,10.533333333333331,-17.92,-0.22
159.0,10.6,-18.58,-0.22
160.0,10.666666666666666,-19.02,-0.22
161.0,10.733333333333333,-19.46,-0.22
162.0,10.8,-19.9,-0.22
163.0,10.866666666666667,-20.33,-0.22
164.0,10.933333333333334,-20.77,-0.22
165.0,11.0,-21.21,-0.22
166.0,11.066666666666666,-21.65,-0.22
167.0,11.133333333333333,-22.09,-0.22
168.0,11.2,-22.53,-0.22
169.0,11.266666666666667,-22.97,-0.22
170.0,11.333333333333334,-23.41,-0.22
171.0,11.4,-23.85,-0.22
172.0,11.466666666666669,-24.29,-0.22
173.0,11.533333333333331,-24.73,-0.22
174.0,11.6,-25.17,-0.22
175.0,11.666666666666666,-25.61,-0.22
176.0,11.733333333333333,-26.05,-0.22
177.0,11.8,-26.49,-0.22
178.0,11.866666666666667,-26.93,-0.22
179.0,11.933333333333334,-27.37,-0.22
180.0,12.0,-27.81,-0.22
181.0,12.066666666666666,-28.25,-0.22
182.0,12.133333333333333,-28.69,-0.22
183.0,12.2,-29.13,-0.22
184.0,12.266666666666667,-29.57,-0.22
185.0,12.333333333333334,-30.01,-0.22
186.0,12.4,-30.45,-0.22
187.0,12.466666666666669,-30.89,-0.22
188.0,12.533333333333331,-31.33,-0.22
189.0,12.6,-31.77,-0.22
190.0,12.666666666666666,-32.21,-0.22
191.0,12.733333333333333,-32.65,-0.22
192.0,12.8,-33.09,-0.22
193.0,12.866666666666667,-33.52,-0.22
194.0,12.933333333333334,-33.96,-0.22
195.0,13.0,-34.4,-0.22
196.0,13.066666666666666,-34.84,-0.22
197.0,13.133333333333333,-35.28,-0.22
198.0,13.2,-35.72,-0.22
199.0,13.266666666666667,-36.16,-0.22
200.0,13.333333333333334,-36.6,-0.22
201.0,13.4,-37.04,-0.22
202.0,13.466666666666669,-37.48,-0.22
203.0,13.533333333333331,-37.92,-0.22
204.0,13.6,-38.36,-0.22
205.0,13.666666666666666,-38.8,-0.22
206.0,13.733333333333333,-39.24,-0.22
207.0,13.8,-39.68,-0.22
208.0,13.866666666666667,-40.12,-0.22
209.0,13.933333333333334,-40.56,-0.22
210.0,14.0,-41.0,-0.22
211.0,14.066666666666666,-41.44,-0.22
212.0,14.133333333333333,-41.88,-0.22
213.0,14.2,-42.32,-0.22
214.0,14.266666666666667,-42.76,-0.22
215.0,14.333333333333334,-43.2,-0.22
216.0,14.4,-43.64,-0.22
217.0,14.466666666666669,-44.08,-0.22
218.0,14.533333333333331,-44.52,-0.22
219.0,14.6,-44.96,-0.22
220.0,14.666666666666666,-45.4,-0.22
221.0,14.733333333333333,-45.84,-0.22
222.0,14.8,-46.28,-0.22
223.0,14.866666666666667,-46.71,-0.22
224.0,14.933333333333334,-47.15,-0.22
225.0,15.0,-47.59,-0.22
226.0,15.066666666666666,-48.03,-0.22
227.0,15.133333333333333,-48.47,-0.22
228.0,15.2,-48.91,-0.22
229.0,15.266666666666667,-49.35,-0.22
230.0,15.333333333333334,-49.79,-0.22
231.0,15.4,-50.23,-0.22
232.0,15.466666666666669,-50.67,-0.22
233.0,15.533333333333331,-51.11,-0.22
234.0,15.6,-51.55,-0.22
